Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
GP3D_CHLMU	GP3D_CHLMU	GP3D_CHLMU	TCA04_2_SPC|TCA04_3_SPC	158|157	315	2	1.00	1.00|1.00	0|0|0|0	1.0000	1.0000	0.0000
GP3D_CHLMU	SYW_CHLMU	SYW_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|16	17	2	0.50	0.03|0.98	0|2|0|0	0.5035	0.9750	0.2992
GP3D_CHLMU	DNLI4_HUMAN	DNLI4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	9|11	20	2	0.95	0.94|0.97	0|1|0|2	0.9555	0.9680	0.0272
GP3D_CHLMU	SYK_CHLMU	SYK_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|4	10	2	0.96	0.97|0.95	0|0|0|0	0.9640	0.9740	0.0177
GP3D_CHLMU	KDSA_CHLMU	KDSA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	9|6	15	2	0.96	0.97|0.95	1|0|1|0	0.9615	0.9700	0.0229
GP3D_CHLMU	BCAR3_HUMAN	BCAR3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	14|3	17	2	0.60	0.96|0.21	3|0|0|0	0.5810	0.9560	0.2112
GP3D_CHLMU	RIBD_CHLMU	RIBD_CHLMU	TCA04_2_SPC|TCA04_3_SPC	11|5	16	2	0.79	0.88|0.70	2|0|1|0	0.7935	0.8830	0.1130
GP3D_CHLMU	EPIPL_HUMAN	EPIPL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|6	8	2	0.36	0.29|0.43	0|0|0|0	0.3595	0.4320	0.4975
GP3D_CHLMU	LDB1_HUMAN	LDB1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|7	10	2	0.84	0.74|0.93	0|1|0|0	0.8390	0.9340	0.0855
GP3D_CHLMU	NMRL1_HUMAN	NMRL1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|7	10	2	0.79	0.68|0.90	0|0|0|1	0.7855	0.8960	0.1215
